annotation_instance_id	annotator_id	error_tag_leaf	template_id	source	corrected	feedback_explanation	feedback_suggestion
batch_1_091	a_2	Part-of-Speech Confusion	Part-of-Speech Confusion_01	It is really good. It is better than the previous novel, FSOGrey. I really mean it. It is not porn. BE GROWN UP PLEASE. If you don't want to read the 'sex parts', just turn over the next page till it ends, that's all. I did that to finish that novel. This novel is just to tell us the passionate love story between a successful businessman, chairmen man with a very unhappy childhood, and he only refers to his birth mother as 'the crack whore', which is related to his recently behaviour - BDSM. And the girl seemed very bored of her routine life, innocent, did nt know anything about life. Apparently, THEY were so different from each other, but somehow, some magic connected them and made them a very lovely couple.	It is really good. It is better than the previous novel, FSOGrey. I really mean it. It is not porn. BE GROWN UP PLEASE. If you don't want to read the 'sex parts', just turn over the next page till it ends, that's all. I did that to finish that novel. This novel is just to tell us the passionate love story between a successful businessman, chairmen man with a very unhappy childhood, and he only refers to his birth mother as 'the crack whore', which is related to his recent behaviour - BDSM. And the girl seemed very bored of her routine life, innocent, did nt know anything about life. Apparently, THEY were so different from each other, but somehow, some magic connected them and made them a very lovely couple.	The word "recently" is modifying the noun "behaviour" and should therefore be changed to its adjective form.	Change "recently" to its adjective form by removing the "-ly" suffix.
batch_1_092	a_1	Vocabulary Choice	Vocabulary Choice_00	More accurate surgery, emotional bond and an increase in communication are examples of positive consequences.	More accurate surgery, emotional bonding and an increase in communication are examples of positive consequences.	"Emotional bond" is not quite correct here. It means a specific connection that has already been made.	Try changing this to "emotional bonding," which means the process of making emotional bonds.
batch_1_093	a_2	Casual or Informal Language	None	A couple of years ago, I spent a couple [NONE] weeks in Bright with Ef.	A couple of years ago, I spent a couple of weeks in Bright with Ef.	Though the phrase "a couple <time period>s" can be used casually, in formal registers, such as writing, "a couple of <time period>s" is preferred.	Add the word "of" between "couple" and "weeks."
batch_1_094	a_2	Possessive	None	I have got one own camera. It's a Canon.	I have got my own camera. It's a Canon.	The phrase "one's own" is used for a general person, not talking about yourself.	Change "one own" to "my own."
batch_1_096	a_1	Pronoun Antecedent	Pronoun Antecedent_02	In my opinion, public transport has been improved over the last years, because cities have been putting a lot of investment into that.	In my opinion, public transport has been improved over the last years, because cities have been putting a lot of investment into it.	If you are talking about "public transportation" again, the word "that" is not the best choice. "That" is used for something specific that feels far away, but "public transportation" is already clear here.	Change "that" to "it" to make this more clear.
batch_1_097	a_1	Missing/Unnecessary Article	Missing/Unnecessary Article_01	Anyway, those tribes would not even need or want an education or a world language because it is their way of life to live in groups together with the nature and disturbing these cultural groups would simply be unnecessary.	Anyway, those tribes would not even need or want an education or a world language because it is their way of life to live in groups together with [NONE] nature and disturbing these cultural groups would simply be unnecessary.	"Nature" is an abstract noun, so it does not need an article here.	Remove the article "the."
batch_1_099	a_2	Infinitive	Infinitive_00	Thus, the investment in research into the influence of nitrate supplementation should continue, the aim of which would be to improve sports performance and improved quality of life.	Thus, the investment in research into the influence of nitrate supplementation should continue, the aim of which would be to improve sports performance and improve quality of life.	This should be a to-infinitive (to + base form of the verb), but "improved" is the wrong form.	Change "improved" to the base form to fix this infinitive.
batch_1_100	a_2	Possessive	Possessive_00	In their quest for the perfect seed, genetic engineers have strengthened crops that are destroying the seeds [NONE] biodiversity, as stand by research led by Greenpeace, GMC crops are threatening to human health because they present more toxic traces than non - modified crops.	In their quest for the perfect seed, genetic engineers have strengthened crops that are destroying the seeds ' biodiversity, as stand by research led by Greenpeace, GMC crops are threatening to human health because they present more toxic traces than non - modified crops.	Use the possessive to show that one word belongs to or is related to the other.	Change "seeds" to a possessive form.
batch_1_102	a_1	Tense: Tense Choice	Tense: Tense Choice_02	First, classes with discussion between professor and student had an advantage for the students because they learn how to interact with their fellow students.	First, classes with discussion between professor and student have an advantage for the students because they learn how to interact with their fellow students.	"Had" is in the past tense, but you seem to be speaking in general about how things are. A present tense is more appropriate.	Change "had" to the present tense.
batch_1_103	a_1	Verb Nominalization	None	Under these circumstances, some people may prefer to take public transport to save money for their 'dream house' rather than buying a car.	Under these circumstances, some people may prefer to take public transport to save money for their 'dream house' rather than buy a car.	When comparing actions with "prefer," you can choose a to-infinitive (to + base form) or a gerund (-ing). Both actions have to use the same form, but yours are different.	Consider changing "buying" to the to-infinitive so that it matches "to take."
batch_1_104	a_2	Passive vs. Active Voice	Passive vs. Active Voice_01	Security against terrorist attacks was promised to be step up, but policemen are not seen in the streets and neither are security cameras.	Security against terrorist attacks was promised to be stepped up, but policemen are not seen in the streets and neither are security cameras.	When using the passive voice, use the correct form of the "be" verb and the past participle of the verb. 	Change "step" to its past participle form.
batch_1_105	a_1	Verb Nominalization	Verb Nominalization_01	Peschiera Borromeo, a small town near Milan, has an agricultural reality and there are many possibilities for walking around and to training yourself for doing parcour.	Peschiera Borromeo, a small town near Milan, has an agricultural reality and there are many possibilities for walking around and [NONE] training yourself for doing parcour.	It seems this is supposed to be the gerund form of the verb "train." Gerunds are the same as the -ing form of a verb. You don't need additional words like "to."	Remove the unnecessary "to."
batch_1_107	a_1	Possessive	Possessive_00	That is why I totally agree with Richardson's modality dealing with this important issue which is present in students', schools' and parents [NONE] lives nowadays.	That is why I totally agree with Richardson's modality dealing with this important issue which is present in students', schools' and parents ' lives nowadays.	When something belongs to someone, it is necessary to use a possessive.	Change "parents" to a possessive form to show whose lives we are talking about.
batch_1_108	a_1	Causative	Causative_02	Suddenly, a giant fish fell from the sky, causing him [NONE] spit out the hairball. Jack could not believe what he saw. The man riding the fish was Bugs Bunny!	Suddenly, a giant fish fell from the sky, causing him to spit out the hairball. Jack could not believe what he saw. The man riding the fish was Bugs Bunny!	When using "cause" to describe something causing another to do an action, the pattern "cause + person/thing + verb (to-infinitive)" is used.	Change the verb to the to-infinitive to satisfy the causative pattern.
batch_1_109	a_1	Infinitive	Infinitive_00	We at Madhura Nagar, understand the need to protecting the environment and hence are committed to what we do.	We at Madhura Nagar, understand the need to protect the environment and hence are committed to what we do.	"Need" needs a to-infinitive (to + base form of the verb) here, but "to protecting" is the wrong form.	Change "protecting" to the base form to fix this infinitive.
batch_1_110	a_2	Subject-Verb Agreement	Subject-Verb Agreement_01	Although now she is sure, she has suffered a lot. 'The cold' and 'the fear' was inside her.	Although now she is sure, she has suffered a lot. 'The cold' and 'the fear' were inside her.	The subject of the sentence is both "the cold" and "the fear," making it a plural subject. Therefore, the third-person plural form of the verb is needed.	Change "was" to the third-person plural form of the verb.
batch_1_111	a_1	Possessive	Possessive_01	Also, it was the governors ' ultimate purpose.	Also, it was the governor 's ultimate purpose.	The possessive of a singular noun like "governor" is formed by adding an apostrophe + s.	Move the apostrophe before the s to fix this possessive.
batch_1_113	a_1	General Collocations	General Collocations_00	Every human being has a need in socialising and that is the first reason why I believe we start making friends.	Every human being has a need for socialising and that is the first reason why I believe we start making friends.	"A need" can't be followed by "in" like this.	Change "in" to "for" to fix this expression.
batch_1_114	a_2	Determiner-Noun Agreement	None	Others problems cited included pretty low uptime of the website, connection issues and login problems, particularly correct credentials not working.	Other problems cited included pretty low uptime of the website, connection issues and login problems, particularly correct credentials not working.	When the word "other" is used as a determiner, it does not take an "s" form, regardless of the plurality of the noun it is modifying.	Change "others" to "other."
batch_2_001	a_2	Fixed Expressions	Fixed Expressions_00	Many people travel by train because they arrive quicker than the bus and are cheaper in a long run.	Many people travel by train because they arrive quicker than the bus and are cheaper in the long run.	The correct phrasing for this idiom is "in the long run."	Change "in a long run" to "in the long run."
batch_2_002	a_1	Plural vs. Singular: Noun Number	Plural vs. Singular: Noun Number_00	But one day, two guys with quad bike saw something wrong, and they sad 'what's that?'. They saw a dead body. They were scared and ran to their camp.	But one day, two guys with quad bikes saw something wrong, and they sad 'what's that?'. They saw a dead body. They were scared and ran to their camp.	"Quad bike" is singular here, but you seem to be talking about more than one.	Change "quad bike" to be plural.
batch_2_003	a_1	Vocabulary Choice	Vocabulary Choice_00	I worked in a coffee last year in my country. I can work long hours.	I worked in a cafe last year in my country. I can work long hours.	"Coffee" is used for the drink or beans, not a place where you can work.	Consider using "cafe" instead.
batch_2_004	a_2	Modal	Modal_01	In my opinion, no one couldn't come to Italy without visiting Pompei.	In my opinion, no one should come to Italy without visiting Pompei.	Use the word "should" to refer to an action that is suggested or recommended to be followed.	Change the word "couldn't" to "should."
batch_2_006	a_2	Plural vs. Singular: Noun Number	Plural vs. Singular: Noun Number_07	Nothing is permanent in this world. I've heard these words from the mouth of my parents and now it is in my heart and helps me to deal with this kind of life.	Nothing is permanent in this world. I've heard these words from the mouths of my parents and now it is in my heart and helps me to deal with this kind of life.	You are referring to multiple parents, so you need to use the plural form of "mouth."	Change "mouth" to its plural form.
batch_2_007	a_1	Relative Clause	Relative Clause_01	Lima is among the top ten cities [NONE] have the messiest public transport in the world.	Lima is among the top ten cities that have the messiest public transport in the world.	It seems you are using a relative clause to explain more about the cities or highlight something about them. However, you are missing the relative pronoun.	Add a relative pronoun to introduce the relative clause.
batch_2_008	a_2	Vocabulary Choice	Vocabulary Choice_01	Michael believed his mother, although he observed bruises on his wife's shape.	Michael believed his mother, although he observed bruises on his wife's face.	Bruises are often described as being on a body or a part of a body, but "shape" does not necessarily refer to any part of the body.	Consider what you want to say and try another word instead of "shape."
batch_2_009	a_2	That Clause	That Clause_00	For example, people always walk on the right of the road in China. However, Australian rules specify [NONE] citizens drive on the left of the road.	For example, people always walk on the right of the road in China. However, Australian rules specify that citizens drive on the left of the road.	The word "specify" takes a complement clause marked by "that."	Add the word "that" to complete the that-clause.
batch_2_010	a_1	Part-of-Speech Confusion	Part-of-Speech Confusion_00	I really enjoy it because it gives me a lot of relax and it helps me to be toned and satisfied with myself.	I really enjoy it because it gives me a lot of relaxation and it helps me to be toned and satisfied with myself.	The word "relax" is a verb, but we need a noun here.	Change "relax" to a noun like "relaxation."
batch_2_011	a_2	Plural vs. Singular: Noun Number	Plural vs. Singular: Noun Number_01	In contrast, some people hate getting caught in a traffic jam, so they prefer public transport. Some other reasons might be rising gas price, car crashes or hating driving!	In contrast, some people hate getting caught in a traffic jam, so they prefer public transport. Some other reasons might be rising gas prices, car crashes or hating driving!	"Price" is singular here, but you are talking about the trend of all of them in general, not any specific price.	Change "price" to its plural form.
batch_2_012	a_1	Spelling	Spelling_00	The game starts with a ball at the centre of the field and them one of the two teams kicks it.	The game starts with a ball at the centre of the field and then one of the two teams kicks it.	This word may be misspelled.	Did you mean "then?"
batch_2_013	a_1	Prepositions: Means/Agent	Prepositions: Means/Agent_01	Half an hour after we arrived, everybody started arriving, there were many greetings, thanks, hugs, kisses, and then we all went to the table, which was magnificently stocked, [NONE] plenty of food of all kinds, drinks, but we were all waiting for the main course. Also, the food was magnificent, but the best part was when the couple went to the pool. We were lucky they had an amazing wedding planner who arranged magnificent and fun activities. He said to the bride and groom that they should each get into an inflatable ball and try walking on the water for as long as they could, and the bride won because the groom slipped and fell after them, out of the ball, fell into the water, and kissed.	Half an hour after we arrived, everybody started arriving, there were many greetings, thanks, hugs, kisses, and then we all went to the table, which was magnificently stocked, with plenty of food of all kinds, drinks, but we were all waiting for the main course. Also, the food was magnificent, but the best part was when the couple went to the pool. We were lucky they had an amazing wedding planner who arranged magnificent and fun activities. He said to the bride and groom that they should each get into an inflatable ball and try walking on the water for as long as they could, and the bride won because the groom slipped and fell after them, out of the ball, fell into the water, and kissed.	You are missing a preposition between "stocked" and "plenty of food" to show what the table has.	Add the preposition "with" before "plenty of food."
batch_2_014	a_1	Passive vs. Active Voice	None	When I started to study here in Australia, I have been found the difference in curriculum compared to my home country.	When I started to study here in Australia, I [NONE] found the difference in curriculum compared to my home country.	This is in the passive voice, so it sounds like the difference found you. The active voice is better if you are the finder.	Remove "have been" to make this into an active past tense verb.
batch_2_015	a_2	Vocabulary Choice	Vocabulary Choice_00	Following your letter, I want to tell you about the apartment. It is very beautiful, not big or small, but medium - sized with two rooms inside, a bathroom and a dining hall and an external director categorize overlooking a beautiful view. I am sure he will like it. to come and Tri condo b soon, n the end, I would say that I miss you so much and I hope to see you soon.	Following your letter, I want to tell you about the apartment. It is very beautiful, not big or small, but medium - sized with two rooms inside, a bathroom and a dining room and an external director categorize overlooking a beautiful view. I am sure he will like it. to come and Tri condo b soon, n the end, I would say that I miss you so much and I hope to see you soon.	A "dining hall" refers to a building or extremely large room for many people, but you are referring to a small room in an apartment.	Change "dining hall" to "dining room."
batch_2_016	a_1	Missing/Unnecessary Article	Missing/Unnecessary Article_00	With public transport you do not need to worry about filling up with petrol, checking tyre pressures, getting tired after driving [NONE] long way.	With public transport you do not need to worry about filling up with petrol, checking tyre pressures, getting tired after driving a long way.	You need an article before "long way." Since "long way" is not specific, it should have an indefinite article.	Add "a" before "long way."
batch_2_017	a_2	Plural vs. Singular: Noun Number	Plural vs. Singular: Noun Number_02	Every months I buy my pass to use on the bus.	Every month I buy my pass to use on the bus.	Use the singular form of the word modified by "every."	Change "months" to its singular form.
batch_2_018	a_2	Pronoun Antecedent	Pronoun Antecedent_00	Technology advances way too fast and it is really difficult to guess what kind of stuff or artefacts there will be fifty years from now, but we can guess some ideas, like flying cars, smartphones the size of a small piece of paper, really thin laptops like a quarter of an inch, clothes that clean itself or change color and shape, healthier food, smarter domestic appliances.	Technology advances way too fast and it is really difficult to guess what kind of stuff or artefacts there will be fifty years from now, but we can guess some ideas, like flying cars, smartphones the size of a small piece of paper, really thin laptops like a quarter of an inch, clothes that clean themselves or change color and shape, healthier food, smarter domestic appliances.	"Itself" is referring to the plural noun "clothes" and therefore a plural pronoun is required.	Use the plural form of "itself" to match the word "clothes."
batch_2_019	a_2	Determiner-Noun Agreement	Determiner-Noun Agreement_01	In ten years, they didn't change that things, because they are delicious and no one would like to eat anything other than roast!	In ten years, they didn't change those things, because they are delicious and no one would like to eat anything other than roast!	"Things" is plural, but the determiner "that" is for singular nouns.	Change "that" to the equivalent plural determiner.
batch_2_020	a_1	Part-of-Speech Confusion	Part-of-Speech Confusion_01	There we visited the central park and we stayed in a very luxury hotel.	There we visited the central park and we stayed in a very luxurious hotel.	The word "luxury" is a noun, but we need an adjective to modify a noun like "hotel."	Change "luxury" to an adjective like "luxurious."
batch_2_023	a_2	Missing/Unnecessary Article	Missing/Unnecessary Article_01	She makes a great food for us. I like to cook with her and eat from her hand.	She makes [NONE] great food for us. I like to cook with her and eat from her hand.	Do not use "a" with uncountable nouns such as "food."	Remove the word "a."
batch_2_024	a_1	Purpose Clause	Purpose Clause_05	Also, they do not have to find a place for park either.	Also, they do not have to find a place to park either.	When describing the right place for something, the correct construction is "a place to + verb (base form)."	Change "for" to "to" to fix the infinitive here.
batch_2_025	a_2	Relative Clause	Relative Clause_00	Once upon a time, there was a boy his name was Michael.	Once upon a time, there was a boy whose name was Michael.	A relative pronoun is required to mark the relative clause "name was Michael."	Change "his" to an appropriate relative pronoun.
batch_2_026	a_2	Plural vs. Singular: Noun Number	Plural vs. Singular: Noun Number_07	To begin with, there are two ways of cutting down on pollution which leads to global warming, which has become a real threat to our life day by day.	To begin with, there are two ways of cutting down on pollution which leads to global warming, which has become a real threat to our lives day by day.	"Life" is singular here, but "our" suggests more than one person's life.	Change "life" to its plural form.
batch_2_027	a_2	Hyphenation	None	Let's take me as an example. I am a 25 years old girl who graduated from the faculty of engineering and wants to travel to Germany to complete my studies, but I am not able to do this because my family will not allow me to travel alone.	Let's take me as an example. I am a 25-year - old girl who graduated from the faculty of engineering and wants to travel to Germany to complete my studies, but I am not able to do this because my family will not allow me to travel alone.	When using age as an adjective before a noun, hyphens are needed between the number, "year," and "old."	Add hyphens between each word to make this "25-year-old."
batch_2_028	a_1	Tense: Tense Choice	Tense: Tense Choice_00	It all began in 1981 when Freddy Fazbear's Pizza open. The establishment is a pizza restaurant but this pizza restaurant had robots. In 1981 there were four animatronics and their names were Chica, Foxy, Bonnie and Freddy.	It all began in 1981 when Freddy Fazbear's Pizza opened. The establishment is a pizza restaurant but this pizza restaurant had robots. In 1981 there were four animatronics and their names were Chica, Foxy, Bonnie and Freddy.	It seems like this happened in the past, but you are using the present tense.	Change "open" to the past tense.
batch_2_029	a_1	Tense: Continuous Aspect	Tense: Continuous Aspect_02	People now buying cars and scooters according to their convenience and pocket.	People now buy cars and scooters according to their convenience and pocket.	When describing something people generally do, use the simple present, not the present continuous.	Change "buying" to the simple present form.
batch_2_030	a_2	Tense: Tense Choice	Tense: Tense Choice_00	This helicopter had humid .Then the helicopter started to rotate in the whole island. Then the helicopter sank in the water. Then the hurricane ended and the engineers start to distribute food and medicine.	This helicopter had humid .Then the helicopter started to rotate in the whole island. Then the helicopter sank in the water. Then the hurricane ended and the engineers started to distribute food and medicine.	Use the simple past tense to talk about events that happened in the past.	Change "start" to its past tense form.
batch_2_031	a_1	Expressions of Time	Expressions of Time_00	He rushed from his bed to the street and walked to his way to see what he did every morning. When he was walking after the strange man, he noticed that he stopped at every trash can in the street to take a look and going to the next one. And, guess what? He saw Michael and ran away and Michael was afraid.	He rushed from his bed to the street and walked to his way to see what he did every morning. When he was walking after the strange man, he noticed that he stopped at every trash can in the street to take a look before going to the next one. And, guess what? He saw Michael and ran away and Michael was afraid.	It seems you are talking about one thing clearly happening before another, but "and" is mostly for things that happen together or around the same time.	Use another word, such as "before," to talk about things happening in order.
batch_2_032	a_1	Missing/Unnecessary Article	Missing/Unnecessary Article_03	The developed version of all those engines is used in the running vehicles on land, water and air which make our lives faster.	The developed version of all those engines is used in [NONE] running vehicles on land, water and air which make our lives faster.	"Vehicles" refers to vehicles in general, so it does not need an article here.	Remove the article "the."
batch_2_034	a_1	Articles with Exceptional Words	Articles with Exceptional Words_01	In conclusion, the real objective of the questionnaire consists of what the people think about the king sport of [NONE] United States of America.	In conclusion, the real objective of the questionnaire consists of what the people think about the king sport of the United States of America.	You are missing the article "the" before "United States of America." Many formal country names include "the."	Add "the" before "United States of America."
batch_2_035	a_1	Plural vs. Singular: Noun Number	Plural vs. Singular: Noun Number_07	No one can deny that time is a big factor in our life.	No one can deny that time is a big factor in our lives.	"Life" is singular here, but you seem to be talking about more than one.	Change "life" to be plural.
batch_2_037	a_1	Tense: Perfect	Tense: Perfect_03	Everyone was eagerly waiting for the ambulance's arrival, but it still [NONE] not yet reached us. The reason was our college location is quite far from the city. That's why it was late.	Everyone was eagerly waiting for the ambulance's arrival, but it still had not yet reached us. The reason was our college location is quite far from the city. That's why it was late.	The past perfect tense (i.e., "had not") is required here to talk about two past events when one did not happen by a certain time.	Add "had" before "not yet reached" to form the past perfect here.
batch_2_040	a_1	Tense: Tense Choice	Tense: Tense Choice_00	But his mother hated his wife and always shout at her.	But his mother hated his wife and always shouted at her.	It seems like this happened in the past, but you are using the present tense.	Change "shout" to the past tense.
batch_2_041	a_2	Grammatical Redundancy	Grammatical Redundancy_02	The river is in Toulouse is the Garona.	The river [NONE] in Toulouse is the Garona.	The sentence already contains a main verb, so it should not be repeated here.	Delete the word "is."
batch_2_043	a_2	Tense: Perfect	Tense: Perfect_03	Peter looked at his watch and knew that he had to do something immediately that he has planned two weeks ago.	Peter looked at his watch and knew that he had to do something immediately that he had planned two weeks ago.	When we talk about two past events, we use "had" before the verb of the earlier event. This is called the past perfect tense.	Change "has" to "had" to fix this past perfect verb.
batch_2_044	a_2	Plural vs. Singular: Noun Number	Plural vs. Singular: Noun Number_07	Scientists try to make people's life easier, but that's harmful for people's health because that makes people not move and get more fat.	Scientists try to make people's lives easier, but that's harmful for people's health because that makes people not move and get more fat.	"Life" is singular here, but "people" suggests more than one person's life.	Change "life" to its plural form.
batch_2_045	a_2	Possessive	Possessive_03	Nowadays, sport is a very important part [NONE] our life.	Nowadays, sport is a very important part of our life.	When one thing is a part of something else, the preposition "of" is typically used to show the relationship.	Add "of" after "part."
batch_2_046	a_1	Modal	Modal_00	The truth is, that the ideal would be that all people could work in their dream jobs and, of course, making a lot of money, like for example, Hollywood actors or football players. But that is almost impossible.	The truth is, that the ideal would be that all people could work in their dream jobs and, of course, make a lot of money, like for example, Hollywood actors or football players. But that is almost impossible.	Modals like "could" must use the base form of the verb, not the to-infinitive.	Change the verb "making" to the base form.
batch_2_047	a_2	Run-on Sentence	Run-on Sentence_02	The family has a blood bond, therefore we have a natural empathy.	The family has a blood bond, so we have a natural empathy.	"Therefore" can't link the two parts of this sentence. Right now, this is a run-on sentence. It must be broken up or connected more smoothly.	Consider using a different connecting word like "so" or making "therefore" the start of a new sentence.
batch_2_048	a_2	Subject-Verb Agreement	Subject-Verb Agreement_01	I'm a member of it and its goal is to improve the positivity of our society by setting up projects that serve many people who really needs our help.	I'm a member of it and its goal is to improve the positivity of our society by setting up projects that serve many people who really need our help.	The subject, "people," is plural. However, "needs" can only be used with a singular subject.	Change "needs" to a form that goes with a plural subject.
batch_2_050	a_2	Missing/Unnecessary Article	Missing/Unnecessary Article_00	We can choose expensive things for [NONE] interior,	We can choose expensive things for the interior,	A definite article is required to refer to the specific noun "interior."	Add "the" before "interior."
batch_2_051	a_2	Plural vs. Singular: Noun Countability	Plural vs. Singular: Noun Countability_01	To keep our minds well and healthy, we need to spend some times on sport.	To keep our minds well and healthy, we need to spend some time on sport.	The word "time" is generally not countable when referring to time in general and not a number of occurrences.	Change the word "times" to its singular form.
batch_2_052	a_2	Verb + Preposition + Argument	Verb + Preposition + Argument_01	Talking about your new job, I was searching for some vacancies. However, they required a full - time worker, so I am going to continue searching [NONE] some part - time jobs.	Talking about your new job, I was searching for some vacancies. However, they required a full - time worker, so I am going to continue searching for some part - time jobs.	"Searching" needs a preposition to connect to its object "part-time jobs."	Add "for" after "searching" to connect it to its object.
batch_2_053	a_2	Plural vs. Singular: Noun Number	Plural vs. Singular: Noun Number_01	I am a 24-year - old male, and I love to do challenging task.	I am a 24-year - old male, and I love to do challenging tasks.	"Task" is singular here, but you seem to be talking about general or various cases. Using a plural is more appropriate.	Change the word "task" to its plural form.
batch_2_054	a_2	Spelling	Spelling_00	A new, tougher world is in front of them as they get ready for collage or to embark on their professional career.	A new, tougher world is in front of them as they get ready for college or to embark on their professional career.	This word seems to be misspelled.	Change "collage" to "college."
batch_2_057	a_1	Vocabulary Choice	Vocabulary Choice_00	The old town is an historic and cultural center where a great part of the tourism is focused.	The old town is an historical and cultural center where a great part of the tourism is focused.	"Historic" might not be the best word here. It is generally used for important and famous moments in history, not to describe things that have a long or interesting history.	Consider using "historical" instead of "historic."
batch_2_058	a_2	Passive vs. Active Voice	None	Thousands of acres of forests to be destroyed, leading to climate change.	Thousands of acres of forests are destroyed, leading to climate change.	"To be destroyed" is an infinitive and can not work as the main verb of this sentence. When using a present passive as the main verb, use the simple present form of the be verb + a past participle.	Change the phrase "to be" from the infinitive form to the simple present form.
batch_2_059	a_1	Missing/Unnecessary Article	Missing/Unnecessary Article_00	Last but most important step is the inspection.	The last but most important step is the inspection.	To talk about a specific step, a definite article is necessary.	Add "the" before "last."
batch_2_060	a_1	Purpose Clause	Purpose Clause_00	Another reason for being a graduate school student is [NONE] learn more practical knowledge which can be applied in my future career.	Another reason for being a graduate school student is to learn more practical knowledge which can be applied in my future career.	To express purpose or reason, you can use the to-infinitive (to + verb (base form)).	Change the verb to the to-infinitive to complete the purpose clause.
batch_2_061	a_1	Modal	Modal_01	Nowadays, going to the gym is the new trend, but you don't only have to do sport because it's trendy.	Nowadays, going to the gym is the new trend, but you shouldn't only do sport because it's trendy.	"Don't have to" is about whether something is necessary, but this seems to be a suggestion.	Use words like "should" or "shouldn't" to talk about whether something is suggested.
batch_2_062	a_2	Verb Nominalization	Verb Nominalization_00	Second, it is true that shop in a shopping center is fast and convenient, because one can buy all types of things together.	Second, it is true that shopping in a shopping center is fast and convenient, because one can buy all types of things together.	"Shop" is a verb, so you can't use it as a noun.	Change the verb "shop" into its gerund form.
batch_2_063	a_2	Plural vs. Singular: Noun Number	None	Twenty years ago, no one would have thought of the inventions of the iPad or smartphones and how they could change our lives, but today, these items have become necessities of our daily lives. Nowadays, many people have got into the habit of carrying their smartphones no matter where they go.	Twenty years ago, no one would have thought of the invention of the iPad or smartphones and how they could change our lives, but today, these items have become necessities of our daily lives. Nowadays, many people have got into the habit of carrying their smartphones no matter where they go.	The word "inventions" is plural here, but in this situation, it seems to be used for the idea of inventing things, which is singular.	Change "inventions" to be singular.
batch_2_064	a_1	Vocabulary Choice	Vocabulary Choice_00	In my view, public transport will keep on offering their services, and will never be effected by the appearance of private means.	In my view, public transport will keep on offering their services, and will never be affected by the appearance of private means.	It seems you may want to use "affect" instead of "effect" here. These are commonly confused words. "Effect" means "result," while "affect" means "to influence."	Use "affect" instead of "effect" in this case.
batch_2_065	a_2	Vocabulary Choice	Vocabulary Choice_00	As long as there are some places for them to live, the natural ecology can be balanced.	As long as there are some places for them to live, the natural environment can be balanced.	"Ecology" means the study of living things the relationships between them, which does not seem appropriate here.	Consider changing "ecology" to "environment."
batch_2_066	a_1	Missing/Unnecessary Article	Missing/Unnecessary Article_00	If you are bored with seeing classical museums, you can go to thematic museums such as [NONE] natural history museum.	If you are bored with seeing classical museums, you can go to thematic museums such as a natural history museum.	You need an article before "natural history museum." Since you are talking about any museum and not a specific one, use an indefinite article.	Add "a" before "natural history museum."
batch_2_067	a_2	Part-of-Speech Confusion	Part-of-Speech Confusion_00	Injuries may happen as a result of doing it often if you do not know the way you run, or you do not take the necessary time to get the resistant that your body needs, for example.	Injuries may happen as a result of doing it often if you do not know the way you run, or you do not take the necessary time to get the resistance that your body needs, for example.	The word "resistant" is an adjective, but you need the noun form of the word here.	Change the suffix to create "resistance," the noun form of this word.
batch_2_068	a_2	Phrasal Verbs	Phrasal Verbs_00	Celine knew at that moment that her world had fallen down.	Celine knew at that moment that her world had fallen apart.	"Fall down" does not fit here. You might be thinking of the phrasal verb "fall apart," which means "break" or "degenerate."	Consider using "fall apart" instead of "fall down."
batch_2_069	a_1	Vocabulary Choice	Vocabulary Choice_02	The Homeless people are human beings and they must take their rights in life.	The Homeless people are human beings and they must have their rights in life.	"Take" may not be the best word here. It is not usually used with "rights."	Consider another word, such as "have."
batch_2_070	a_2	Vocabulary Choice	Vocabulary Choice_02	It is also a point that if you don't execute what you wanted to during the gap year, you are in the same place as when you were graduating school.	It is also a point that if you don't achieve what you wanted to during the gap year, you are in the same place as when you were graduating school.	The word "execute" is generally not used for reaching goals.	Consider using the word "achieve" instead of the word "execute."
batch_2_071	a_1	Tense: Tense Choice	Tense: Tense Choice_00	She ate breakfast, dressed and go to work.	She ate breakfast, dressed and went to work.	It seems like this happened in the past, but you are using the present tense.	Try changing "go" to the past tense.
batch_2_072	a_2	Tense: Tense Choice	Tense: Tense Choice_00	The next thing Michael knew was that he is making love with this girl.	The next thing Michael knew was that he was making love with this girl.	Use the past tense form of the be verb to indicate a continuous action in the past.	Change the word "is" to its past-tense form.
batch_2_074	a_1	Prepositions: Means/Agent	Prepositions: Means/Agent_03	The town is covered with more than thirty routes, most of them with a duplicate following the same route in the opposite direction.	The town is covered by more than thirty routes, most of them with a duplicate following the same route in the opposite direction.	"With" may not be the best preposition to use here. In a passive sentence like this one, the preposition "by" suggests who or what does something.	Consider changing "with" to "by."
batch_2_075	a_1	Possessive	Possessive_04	In conclusion, globalization on transportation has brought both positive and negative effects for Chinese people.	In conclusion, globalization of transportation has brought both positive and negative effects for Chinese people.	"On" is not the right preposition to show what is associated with "globalization."	Change "on" to "of."
batch_2_076	a_2	Conditional	Conditional_01	According to Wiki encyclopedia, the FBI called the occupiers 'terrorists' and decided to suppress the dispute as [NONE] dealing with a terrorist attack.	According to Wiki encyclopedia, the FBI called the occupiers 'terrorists' and decided to suppress the dispute as if dealing with a terrorist attack.	You are missing a word here to start a conditional or subjunctive clause.	Add the word "if" after "as."
