template_id,error_tag,template_index,template_note,template_explanation,template_suggestion,is_direct,template_origin
Commas_00,Commas,0,Comma needed after introductory phrase,A comma is needed after introductory phrases to separate them from the main clause.,"Add a comma after ""{context_word(s)}.""",True,Guidelines
Commas_01,Commas,1,"Comma needed before conjunction like ""but""","When using a conjunction like ""{context_word(s)}"" to connect two independent clauses, a comma is needed at the end of the first clause.","Add a comma after ""{context_word(s)}.""",True,Guidelines
Commas_02,Commas,2,Missing comma before a non-restrictive clause,Use a comma to separate explanations or extra information from the rest of the sentence.,"Add a comma after ""{context_word(s)}.""",True,Guidelines
Commas_03,Commas,3,"Unnecessary comma before restrictive clause using ""that""","When introducing important information about a noun with ""that,"" a comma is not needed.",Remove the comma to connect the noun to the information about it,True,Guidelines
Commas_04,Commas,4,Unnecessary comma between verb and direct object,There should not be a comma between the verb and its direct object.,Remove the comma to make the sentence flow better.,True,Guidelines
Contractions_00,Contractions,0,Missing apostrophe in contraction,It seems this contraction is missing an apostrophe.,"Add an apostrophe to change ""{error_word(s)}"" to ""{suggested_word(s)}.""",True,Guidelines
Contractions_01,Contractions,1,Apostrophe in wrong place,This contraction has the apostrophe in the wrong place.,"Move the apostrophe to make this into ""{suggested_word(s)}.",True,Guidelines
Contractions_02,Contractions,2,Illegal contraction attempted,"""{suggested_word(s)}"" can not be combined into a contraction.","Use the words ""{suggested_word(s)}"" separately.",True,Guidelines
Parentheses_00,Parentheses,0,Unclosed parentheses,Make sure that each opening parenthesis has a matching closing parenthesis.,Add a closing parenthesis at the location you want to end this parenthetical.,False,Guidelines
Parentheses_01,Parentheses,1,Unnecessary parentheses,"Parentheses are used for optional information, but the information here is necessary to complete the sentence.",Remove the parentheses.,True,Guidelines
Parentheses_02,Parentheses,2,Inappropriate terminal punctuation inside parentheses,{A period || A question mark || An exclamation point} can not be used inside parentheses unless the parenthetical is its own standalone sentence.,Remove the {period || question mark || exclamation point} here.,True,Guidelines
Quotation_00,Quotation,0,Missing quotation marks,"his seems to be a direct quote, but you are not using quotation marks.",Add quotation marks around the quoted text.,False,Guidelines
Quotation_01,Quotation,1,Inappropriate punctuation in quotation marks,Punctuation marks like periods and commas must be inside of quotation marks.,Move the punctuation inside the quotes.,False,Guidelines
Quotation_02,Quotation,2,Unecessary use of quotation marks,"Quotation marks are mostly for things other people say, not emphasis. Using them like this can seem negative or doubtful.","Remove the quotes around ""{context_word(s)}.""",True,Guidelines
Quotation_03,Quotation,3,Error in nesting quotation marks,"If there is a quote inside of another quote, use double quotes ("" "") for the outside and single quotes (' ') for the inside.",Change the inside quotes to single quotes.,True,Guidelines
Run-on Sentence_00,Run-on Sentence,0,Sentence is run-on; break it up (includes adding conjunction),This is a run-on sentence. It must be broken up or connected more smoothly.,Consider adding a conjunction here or changing the comma to a semicolon or period.,False,Guidelines
Run-on Sentence_01,Run-on Sentence,1,Break up sentence at conjunctive adverb,"""{error_word(s)}"" can't link the two parts of this sentence. Right now, this is a run-on sentence. It must be broken up or connected more smoothly.","Consider making ""{error_word(s)}"" the start of a new sentence.",False,Pilot
Run-on Sentence_02,Run-on Sentence,2,Convert conjunctive adverb to conjunction,"""{error_word(s)}"" can't link the two parts of this sentence. Right now, this is a run-on sentence. It must be broken up or connected more smoothly.","Consider changing ""{error_word(s)}"" to ""{suggested_word(s)}"" to connect this more smoothly.",True,Pilot
Semicolon_00,Semicolon,0,Semicolons in a list,"When making a list, use a semicolon ("";"") to separate items that have commas.",Change the comma here into a semicolon.,True,Guidelines
Spacing_00,Spacing,0,Unnecessary space in word,"A space is not necessary in ""{error_word(s)}.""",Remove the space to join these into a single word.,True,Guidelines
Spelling_00,Spelling,0,Word may be misspelled,This word may be misspelled.,"Consider changing ""{error_word(s)}"" to ""{suggested_word(s)}.""",True,Guidelines
Fragment: Incomplete Thought_00,Fragment: Incomplete Thought,0,Incomplete Thought,This seems to be a sentence fragment.,"Add something to complete the idea, connect this sentence to another one nearby, or edit the sentence to be independent.",False,Guidelines
Fragment: Missing Object_00,Fragment: Missing Object,0,Missing Object,This sentence is missing an object.,"Think about {who || what} is ""{context_word(s)}"" and add a word to complete the thought.",False,Guidelines
Fragment: Missing Subject_00,Fragment: Missing Subject,0,Missing Subject,Your sentence is missing a subject. {Who || What} {context_word(s)}?,Add a subject to complete the sentence.,False,Guidelines
Fragment: Missing Verb_00,Fragment: Missing Verb,0,Missing Verb (general),An English sentence must contain a verb.,Add a verb to complete the thought.,False,Guidelines
Grammatical Redundancy_00,Grammatical Redundancy,0,Double Negative,"Avoid using two negatives in the same clause. This creates a ""double negative."" In English, one negative is enough.",Change one of the negative words to a non-negative version.,False,Guidelines
Grammatical Redundancy_01,Grammatical Redundancy,1,Unnecessary pronoun duplicates subject,"""{context_word(s)}"" is already the subject, so you do not need the pronoun ""{error_word(s)}.""","Remove the unnecessary ""{error_word(s)}.""",True,Guidelines
Grammatical Redundancy_02,Grammatical Redundancy,2,Repeated verb,"You used ""{error_word(s)}"" twice, but you only need one to make this a complete sentence.","Remove the unnecessary verb ""{error_word(s)}.""",True,Pilot
Archaic or Formal Language_00,Archaic or Formal Language,0,Word may be too formal,"""{error word(s)}"" is a little too formal and does not sound natural here.","Try using another word or phrase, such as ""{suggested_word(s)}.""",True,Guidelines
Casual or Informal Language_00,Casual or Informal Language,0,"Starting sentence with e.g., ""but"" or ""and""","In texts like essays, avoid starting a sentence with ""{error_word(s)}.""","Consider an alternative like ""{suggested_word(s)}"" to introduce the next idea.",True,Guidelines
Casual or Informal Language_01,Casual or Informal Language,1,Word or phrase may be informal,"Using ""{error_word(s)}"" here may sound too casual or informal. ""{suggested_word(s)}"" may be better for texts like essays.","Consider changing this to ""{suggested_word(s)}"" to sound more formal.",True,Guidelines
Stylistic Redundancy_00,Stylistic Redundancy,0,Word(s) not necessary given further context,"Since you mention ""{context_word(s)},"" you don't need to use ""{error_word(s)}"" here too. The sentence would sound more natural without it.","Consider removing ""{error_word(s)}.""",True,Pilot
